PID                      UID                      GID                      Command                  
-------------------------------------------------------------------------------------------
1                        root                     root                     systemd                  
2                        root                     root                     kthreadd                 
3                        root                     root                     rcu_gp                   
4                        root                     root                     rcu_par_gp               
6                        root                     root                     kworker/0:0H-kblockd     
8                        root                     root                     mm_percpu_wq             
9                        root                     root                     ksoftirqd/0              
10                       root                     root                     rcu_sched                
11                       root                     root                     migration/0              
12                       root                     root                     idle_inject/0            
14                       root                     root                     cpuhp/0                  
15                       root                     root                     kdevtmpfs                
16                       root                     root                     netns                    
17                       root                     root                     rcu_tasks_kthre          
18                       root                     root                     kauditd                  
19                       root                     root                     khungtaskd               
20                       root                     root                     oom_reaper               
21                       root                     root                     writeback                
22                       root                     root                     kcompactd0               
23                       root                     root                     ksmd                     
24                       root                     root                     khugepaged               
70                       root                     root                     kintegrityd              
71                       root                     root                     kblockd                  
72                       root                     root                     blkcg_punt_bio           
73                       root                     root                     tpm_dev_wq               
74                       root                     root                     ata_sff                  
75                       root                     root                     md                       
76                       root                     root                     edac-poller              
77                       root                     root                     devfreq_wq               
78                       root                     root                     watchdogd                
80                       root                     root                     kswapd0                  
81                       root                     root                     ecryptfs-kthrea          
83                       root                     root                     kthrotld                 
84                       root                     root                     acpi_thermal_pm          
85                       root                     root                     khvcd                    
86                       root                     root                     scsi_eh_0                
87                       root                     root                     scsi_tmf_0               
88                       root                     root                     scsi_eh_1                
89                       root                     root                     scsi_tmf_1               
91                       root                     root                     vfio-irqfd-clea          
93                       root                     root                     ipv6_addrconf            
102                      root                     root                     kstrp                    
105                      root                     root                     kworker/u3:0             
118                      root                     root                     charger_manager          
152                      root                     root                     kworker/0:1H-kblockd     
198                      root                     root                     raid5wq                  
241                      root                     root                     jbd2/vda1-8              
242                      root                     root                     ext4-rsv-conver          
277                      root                     root                     hwrng                    
315                      root                     root                     systemd-journal          
336                      root                     root                     none                     
368                      root                     root                     systemd-udevd            
501                      root                     root                     kaluad                   
502                      root                     root                     kmpath_rdacd             
503                      root                     root                     kmpathd                  
504                      root                     root                     kmpath_handlerd          
505                      root                     root                     multipathd               
516                      root                     root                     loop0                    
519                      root                     root                     loop1                    
522                      root                     root                     loop2                    
523                      root                     root                     loop3                    
524                      root                     root                     loop4                    
540                      systemd-timesync         systemd-timesync         systemd-timesyn          
596                      systemd-network          systemd-network          systemd-network          
598                      systemd-resolve          systemd-resolve          systemd-resolve          
633                      root                     root                     accounts-daemon          
636                      root                     root                     cron                     
637                      messagebus               messagebus               dbus-daemon              
644                      root                     root                     networkd-dispat          
645                      root                     root                     polkitd                  
647                      root                     root                     qemu-ga                  
648                      syslog                   syslog                   rsyslogd                 
650                      root                     root                     snapd                    
652                      root                     root                     systemd-logind           
654                      root                     root                     udisksd                  
655                      root                     root                     atd                      
662                      root                     root                     agetty                   
664                      root                     root                     agetty                   
667                      root                     root                     agetty                   
692                      root                     root                     sshd                     
693                      root                     root                     ModemManager             
712                      root                     root                     unattended-upgr          
13155                    root                     root                     xfsalloc                 
13156                    root                     root                     xfs_mru_cache            
111896                   root                     root                     kworker/0:0-events       
201998                   root                     root                     fwupd                    
202050                   root                     root                     sshd                     
202057                   20mg57                   sysops                   systemd                  
202065                   20mg57                   sysops                   (sd-pam)                 
202163                   20mg57                   sysops                   sshd                     
202164                   20mg57                   sysops                   bash                     
202304                   20mg57                   sysops                   sh                       
202314                   20mg57                   sysops                   node                     
202396                   20mg57                   sysops                   node                     
203393                   root                     root                     sshd                     
203476                   20mg57                   sysops                   sshd                     
203477                   20mg57                   sysops                   bash                     
203530                   20mg57                   sysops                   node                     
203541                   20mg57                   sysops                   node                     
203632                   20mg57                   sysops                   bash                     
206257                   root                     root                     kworker/0:2              
206373                   root                     root                     kworker/u2:2-events_power_efficient
206439                   root                     root                     kworker/u2:0-events_power_efficient
214335                   root                     root                     kworker/u2:1-events_power_efficient
217124                   20mg57                   sysops                   sleep                    
217179                   20mg57                   sysops                   ps.sh                    
