    PID USER     COMMAND         COMMAND
      1 root     systemd         systemd
      2 root     kthreadd        kthreadd
      3 root     rcu_gp          rcu_gp
      4 root     rcu_par_gp      rcu_par_gp
      6 root     kworker/0:0H-kb kworker/0:0H-kblockd
      8 root     mm_percpu_wq    mm_percpu_wq
      9 root     ksoftirqd/0     ksoftirqd/0
     10 root     rcu_sched       rcu_sched
     11 root     migration/0     migration/0
     12 root     idle_inject/0   idle_inject/0
     14 root     cpuhp/0         cpuhp/0
     15 root     kdevtmpfs       kdevtmpfs
     16 root     netns           netns
     17 root     rcu_tasks_kthre rcu_tasks_kthre
     18 root     kauditd         kauditd
     19 root     khungtaskd      khungtaskd
     20 root     oom_reaper      oom_reaper
     21 root     writeback       writeback
     22 root     kcompactd0      kcompactd0
     23 root     ksmd            ksmd
     24 root     khugepaged      khugepaged
     70 root     kintegrityd     kintegrityd
     71 root     kblockd         kblockd
     72 root     blkcg_punt_bio  blkcg_punt_bio
     73 root     tpm_dev_wq      tpm_dev_wq
     74 root     ata_sff         ata_sff
     75 root     md              md
     76 root     edac-poller     edac-poller
     77 root     devfreq_wq      devfreq_wq
     78 root     watchdogd       watchdogd
     80 root     kswapd0         kswapd0
     81 root     ecryptfs-kthrea ecryptfs-kthrea
     83 root     kthrotld        kthrotld
     84 root     acpi_thermal_pm acpi_thermal_pm
     85 root     khvcd           khvcd
     86 root     scsi_eh_0       scsi_eh_0
     87 root     scsi_tmf_0      scsi_tmf_0
     88 root     scsi_eh_1       scsi_eh_1
     89 root     scsi_tmf_1      scsi_tmf_1
     91 root     vfio-irqfd-clea vfio-irqfd-clea
     93 root     ipv6_addrconf   ipv6_addrconf
    102 root     kstrp           kstrp
    105 root     kworker/u3:0    kworker/u3:0
    118 root     charger_manager charger_manager
    152 root     kworker/0:1H-kb kworker/0:1H-kblockd
    198 root     raid5wq         raid5wq
    241 root     jbd2/vda1-8     jbd2/vda1-8
    242 root     ext4-rsv-conver ext4-rsv-conver
    277 root     hwrng           hwrng
    315 root     systemd-journal systemd-journal
    336 root     none            none
    368 root     systemd-udevd   systemd-udevd
    501 root     kaluad          kaluad
    502 root     kmpath_rdacd    kmpath_rdacd
    503 root     kmpathd         kmpathd
    504 root     kmpath_handlerd kmpath_handlerd
    505 root     multipathd      multipathd
    516 root     loop0           loop0
    519 root     loop1           loop1
    522 root     loop2           loop2
    523 root     loop3           loop3
    524 root     loop4           loop4
    540 systemd+ systemd-timesyn systemd-timesyn
    596 systemd+ systemd-network systemd-network
    598 systemd+ systemd-resolve systemd-resolve
    633 root     accounts-daemon accounts-daemon
    636 root     cron            cron
    637 message+ dbus-daemon     dbus-daemon
    644 root     networkd-dispat networkd-dispat
    645 root     polkitd         polkitd
    647 root     qemu-ga         qemu-ga
    648 syslog   rsyslogd        rsyslogd
    650 root     snapd           snapd
    652 root     systemd-logind  systemd-logind
    654 root     udisksd         udisksd
    655 daemon   atd             atd
    662 root     agetty          agetty
    664 root     agetty          agetty
    667 root     agetty          agetty
    692 root     sshd            sshd
    693 root     ModemManager    ModemManager
    712 root     unattended-upgr unattended-upgr
  13155 root     xfsalloc        xfsalloc
  13156 root     xfs_mru_cache   xfs_mru_cache
 111896 root     kworker/0:0-mm_ kworker/0:0-mm_percpu_wq
 201998 root     fwupd           fwupd
 202050 root     sshd            sshd
 202057 20mg57   systemd         systemd
 202065 20mg57   (sd-pam)        (sd-pam)
 202163 20mg57   sshd            sshd
 202164 20mg57   bash            bash
 202304 20mg57   sh              sh
 202314 20mg57   node            node
 202396 20mg57   node            node
 203393 root     sshd            sshd
 203476 20mg57   sshd            sshd
 203477 20mg57   bash            bash
 203530 20mg57   node            node
 203541 20mg57   node            node
 203632 20mg57   bash            bash
 206257 root     kworker/0:2     kworker/0:2
 206373 root     kworker/u2:2-ev kworker/u2:2-events_unbound
 206439 root     kworker/u2:0-ev kworker/u2:0-events_power_efficient
 214335 root     kworker/u2:1-ev kworker/u2:1-events_power_efficient
 217124 20mg57   sleep           sleep
 217129 20mg57   sh              sh
 217130 20mg57   cpuUsage.sh     cpuUsage.sh
 217133 20mg57   sleep           sleep
 217135 20mg57   ps              ps
